mtu,baseline,scout
3420,955.78,955.742
3430,955.792,955.739
3440,955.837,955.738
3450,955.833,955.764
3460,955.831,955.764
3470,955.824,955.745
3480,955.826,955.771
3490,955.845,955.766
3500,955.852,955.734
3510,955.804,955.717
3520,955.77,955.728
3530,955.758,955.741
3540,955.777,955.78
3550,955.75,955.787
3560,955.754,955.784
3570,955.762,955.778
3580,955.767,955.766
3590,955.761,955.747
3600,955.724,955.71
3610,955.726,955.689
3620,955.744,955.7
3630,955.75,955.71
3640,955.744,955.709
3650,955.741,955.72
3660,955.75,955.69
3670,955.714,955.682
3680,955.717,955.668
3690,955.673,955.672
3700,955.651,955.689
3710,955.668,955.688
3720,955.652,955.708
3730,955.641,955.718
3740,955.631,955.706
3750,955.633,955.689
3760,955.626,955.698
3770,955.643,955.717
3780,955.651,955.733
3790,955.665,955.743
3800,955.655,955.763
3810,955.694,955.744
3820,955.705,955.753
3830,955.709,955.728
3840,955.681,955.705
3850,955.665,955.722
3860,955.669,955.715
3870,955.664,955.696
3880,955.64,955.712
3890,955.653,955.712
3900,955.678,955.723
3910,955.69,955.727
3920,955.68,955.705
3930,955.694,955.694
3940,955.661,955.676
3950,955.655,955.665
3960,955.658,955.679
3970,955.69,955.705
3980,955.683,955.701
3990,955.68,955.699
4000,955.712,955.708
4010,955.73,955.712
4020,955.741,955.692
4030,955.732,955.687
4040,955.721,955.716
4050,955.725,955.706
4060,955.733,955.699
4070,955.726,955.708
4080,955.704,955.685
4090,955.675,955.681
4100,955.684,955.693
4110,955.66,955.729
4120,955.673,955.715
4130,955.665,955.731
4140,955.669,955.741
4150,955.697,955.749
4160,955.733,955.759
4170,955.711,955.79
4180,955.713,955.772
4190,955.696,955.787
4200,955.687,955.81
4210,955.678,955.804
4220,955.694,955.775
4230,955.654,955.789
4240,955.66,955.819
4250,955.672,955.843
4260,955.627,955.837
4270,955.599,955.8
4280,955.589,955.815
4290,955.612,955.796
4300,955.58,955.745
4310,955.588,955.748
4320,955.587,955.776
4330,955.601,955.78
4340,955.599,955.782
4350,955.601,955.813
4360,955.589,955.833
4370,955.598,955.825
4380,955.615,955.85
4390,955.639,955.859
4400,955.621,955.864
4410,955.65,955.854
4420,955.639,955.861
4430,955.636,955.86
4440,955.655,955.861
4450,955.646,955.862
4460,955.599,955.877
4470,955.643,955.869
4480,955.643,955.868
4490,955.673,955.858
4500,955.677,955.857
4510,955.662,955.846
4520,955.654,955.892
4530,955.662,955.878
4540,955.688,955.845
4550,955.69,955.797
4560,955.693,955.786
4570,955.727,955.804
4580,955.743,955.806
4590,955.759,955.83
4600,955.747,955.845
4610,955.735,955.854
4620,955.737,955.846
4630,955.738,955.837
4640,955.734,955.849
4650,955.752,955.839
4660,955.746,955.807
4670,955.716,955.811
4680,955.716,955.786
4690,955.711,955.8
4700,955.741,955.821
4710,955.735,955.828
4720,955.742,955.805
4730,955.779,955.799
4740,955.779,955.816
4750,955.801,955.797
4760,955.849,955.74
4770,955.836,955.724
4780,955.832,955.735
4790,955.82,955.757
4800,955.838,955.739
4810,955.867,955.754
4820,955.861,955.748
4830,955.883,955.768
4840,955.845,955.772
4850,955.827,955.81
4860,955.838,955.832
4870,955.814,955.828
4880,955.823,955.822
4890,955.803,955.827
4900,955.831,955.843
4910,955.832,955.811
4920,955.842,955.814
4930,955.821,955.805
4940,955.836,955.807
4950,955.838,955.784
4960,955.871,955.792
4970,955.898,955.766
4980,955.89,955.76
4990,955.92,955.75
5000,955.911,955.737
5010,955.909,955.759
5020,955.897,955.773
5030,955.866,955.782
5040,955.845,955.762
5050,955.848,955.761
5060,955.828,955.779
